RESULT

subject:  tasku: 3
subject: APPRAISAL.APPRAISER2.CONFIRM tasku: 3
subject: APPRAISAL.APPRAISER2.CONFIRM tasku: 3
subject: APPRAISAL.APPRAISER2.CONFIRM tasku: 3
subject: APPRAISAL.APPRAISER2.CONFIRM tasku: 3
subject: APPRAISAL.APPRAISER2.CONFIRM tasku: 3
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
subject: APPRAISAL.APPRAISER3.CONFIRM tasku: 0
